first,last,team,cost,total_points,goals_scored,assists,clean_sheets,minutes,popularity,play_chance,full_name,goals_per_90,assists_per_90,points_per_million,is_playing_next
Joël,Veltman,5,4.3,59,0,0,6,1663,1.1,100.0,Joël Veltman,0.0,0.0,13.720927041644874,True
Bart,Verbruggen,5,4.6,99,0,1,7,3060,2.5,100.0,Bart Verbruggen,0.0,0.02941176384083048,21.52173445179686,True
Adam,Webster,5,4.3,34,0,0,4,705,0.1,100.0,Adam Webster,0.0,0.0,7.906974905354673,True
Danny,Welbeck,5,5.5,120,10,4,7,2026,6.2,100.0,Danny Welbeck,0.4442250543039215,0.17769002172156861,21.81817785124039,True
Mats,Wieffer,5,4.7,48,1,5,2,823,0.1,100.0,Mats Wieffer,0.10935600262206534,0.5467800131103268,10.212763784518343,True
Brajan,Gruda,5,5.4,37,1,3,1,529,0.0,100.0,Brajan Gruda,0.17013229619677378,0.5103968885903214,6.851850582990632,True
Yasin,Ayari,5,5.0,64,1,1,7,1840,0.0,100.0,Yasin Ayari,0.04891304108577517,0.04891304108577517,12.799997440000512,True
Andrew,Moran,5,5.0,0,0,0,0,0,0.0,0.0,Andrew Moran,0.0,0.0,0.0,False
Carl,Rushworth,5,3.9,0,0,0,0,0,0.1,100.0,Carl Rushworth,0.0,0.0,0.0,True
Georginio,Rutter,5,5.0,95,5,6,6,1651,0.3,50.0,Georginio Rutter,0.2725620687276885,0.32707448247322624,18.99999620000076,False
Ferdi,Kadioglu,5,4.4,19,1,0,2,385,0.1,0.0,Ferdi Kadioglu,0.2337661791195945,0.0,4.318180836777082,False
Matt,O'Riley,5,5.5,40,1,2,2,898,0.0,100.0,Matt O'Riley,0.10022270710462847,0.20044541420925693,7.272725950413464,True
Imari,Samuels,5,4.0,0,0,0,0,0,0.0,0.0,Imari Samuels,0.0,0.0,0.0,False
Killian,Cahill,5,3.9,0,0,0,0,0,0.9,,Killian Cahill,0.0,0.0,0.0,True
Ruairi,McConville,5,4.0,0,0,0,0,0,0.0,0.0,Ruairi McConville,0.0,0.0,0.0,False
